abbrev 0.25
acomp 1
advcl 0.75
advmod 0.75
agent 1
amod 0.75
apos 0.5
attr 0.75
aux 0.25
auxpass 0.25
cc 0.25
ccomp 1
complm 1
conj 0.25
cop 0.25
csubj 1
dep 1
det 0.25
dobj 1
expl 0.1
infmod 0.75
iobj 1
mark 0.75
mwe 1
neg 1
nn 0.75
npadvmod 0.75
nsubj 1
nsubjpass 1
num 0.75
number 0.25
parataxis 0.25
partmod 0.75
pcomp 1
pobj 1
poss 0.25
preconj 1
predet 0.25
prep 0.5
prepc 0.75
prt 0.25
punct 0
purpcl 0.75
quantmod 0.25
rcmod 0.75
ref 0.25
root 0
tmod 0.75
xcomp 1
xsubj 1
dep 1
aux 0.25
arg 1
comp 1
obj 1
subj 1
mod 0.75
